"mmsi","length","tonnage"
"431500944",18.75,19
"431009671",24.23,88.32
"431012033",19.37,54.54
"432890000",50.83,497
"431006995",17.9,38.19
"431011153",21.6,90.74
"431601951",14.82,19
"431602338",17.86,19
"431012903",20,53.02
"431007295",20.82,50.46
"431012451",17.07,37.3
"431000711",31.5,119
"431010797",21.33,49.22
"431008796",19.74,42.51
"431008995",19.95,37.35
"431006988",15.89,34.39
"431000944",18.89,19
"431500720",14.95,19
"431501661",14.89,14
"431010862",19,41.29
"431007303",15.3,14
"431500120",23,66
"431007503",23.8,69.18
"431702990",54.14,545
"432761000",32.1,189
"431008699",15.65,39.64
"431200460",18.29,19
"431501795",18.99,19
"431602040",49.2,478
"431700830",49.39,478
"431012704",20.1,52.29
"431602350",14.95,19
"431009227",21.52,57.23
"431011506",20.46,42.14
"431680680",17.26,19
"431800563",18.75,31.14
"431882000",52.99,514
"432374000",52.6,620
"431010031",18.92,36.33
"431501822",22.4,19
"431600120",32.19,120.56
"431011428",20.02,48.8
"431601070",14.94,19
"431011081",18.6,37.79
"431010313",17.29,51.03
"431600260",16.65,19
"431600092",29.85,81.86
"431501646",19.8,19
"431010721",21.08,48.06
"431007285",20.66,41.14
"431700660",48.4,506.75
"431000476",18.95,19
"431009386",25.81,102.31
"431009114",17.98,43.3
"432319000",54.69,549.5
"432282000",51.91,514
"431010842",17.91,42.35
"431298000",52.32,505
"431601917",16.84,19
"431500960",20,19
"431680156",14.97,19
"440646000",49.24,395.5
"440919000",52.99,516.5
"441014000",52.99,523.5
"440595000",52.31,535.5
"440773000",54,530.5
"440946000",52.99,522
"440055000",51.67,490
"441098000",56.07,411
"440656000",49.24,484
"440647000",50.25,482.5
"441524000",52.27,549.5
"440623000",52.99,515
"440772000",52.99,515
"440936000",51.76,522.5
"441084000",53.3,383
"440751000",52.99,410
"440517000",52.3,535.5
"440645000",52.4,512.5
"440787000",52.99,530.5
"440780000",51.77,532
"440704000",51.76,522
